,CVEGEO,CVEGEO_tukan,NOMGEO
0,01,a11e95a3853fb69,Aguascalientes
1,02,247c9cacf4224b6,Baja California
2,03,360a302c378e710,Baja California Sur
3,04,6ac5967cbf3837a,Campeche
4,05,18586f4a5105126,Coahuila de Zaragoza
5,06,1066aeadf0e6b1d,Colima
6,07,41898e9ee8eca2e,Chiapas
7,08,df4199cdf95d9a2,Chihuahua
8,09,a3610ba4cc376e9,Ciudad de México
9,10,db3b32c946ffd13,Durango
10,11,a3aa918bd45ac53,Guanajuato
11,12,71ecab7f1483f68,Guerrero
12,13,361653ebbec7c01,Hidalgo
13,14,85b7cf10a7ca78c,Jalisco
14,15,35f06e5ac6c66c6,México
15,16,c51b7a801a43fde,Michoacán de Ocampo
16,17,75bb26080da6e48,Morelos
17,18,d3d2e9958774cf3,Nayarit
18,19,6dc16b1f0f610dc,Nuevo León
19,20,16600f577a6aa5d,Oaxaca
20,21,bd8b4a37deee845,Puebla
21,22,c8632592a7df381,Querétaro
22,23,ff9e50f58bb1ce3,Quintana Roo
23,24,468bc66c95ecfe6,San Luis Potosí
24,25,bb5cbe0609bca7d,Sinaloa
25,26,503feee7604f872,Sonora
26,27,66fc4903e4ffb94,Tabasco
27,28,4f875e6e2443514,Tamaulipas
28,29,5ec6f2e8362d8b2,Tlaxcala
29,30,f22e4d8e77ae9bf,Veracruz de Ignacio de la Llave
30,31,4beb98148056b4e,Yucatán
31,32,737125369fa1d94,Zacatecas
0,01001,fe82b1cae0e2ff2,Aguascalientes
1,01002,99b501b3ce8234d,Asientos
2,01003,a3f1f0eb0df2c5b,Calvillo
3,01004,8e10276f5595108,Cosío
4,01005,ec725c2daa2865a,Jesús María
5,01006,58f55dab1289176,Pabellón de Arteaga
6,01007,1191cb35d236e77,Rincón de Romos
7,01008,0bc5567c95f0a1b,San José de Gracia
8,01009,9b357960ca8daa8,Tepezalá
9,01010,7a5d11dca4fa4c8,El Llano
10,01011,e93ae0e26b53805,San Francisco de los Romo
11,02001,6cac34130e272a3,Ensenada
12,02002,5a4896ebb8fd31b,Mexicali
13,02003,5f32833f9d73c35,Tecate
14,02004,80a55aa025cf021,Tijuana
15,02005,ebdbe6d326cba44,Playas de Rosarito
16,03001,d39908bdbf387a0,Comondú
17,03002,70ce13de1cd71f5,Mulegé
18,03003,c55d8e6b8e9f255,La Paz
19,03008,b1f795ea902d86f,Los Cabos
20,03009,02e44aada0d2374,Loreto
21,04001,676cf972c571237,Calkiní
22,04002,2de33dd4e8798e9,Campeche
23,04003,0f06fc1d97a6688,Carmen
24,04004,3a4a0a2a1ad214e,Champotón
25,04005,6313185468cd6f7,Hecelchakán
26,04006,78b1657cb45e3e8,Hopelchén
27,04007,fb4a5a69b2fb411,Palizada
28,04008,a32e16c6b7d04fb,Tenabo
29,04009,6bbc14abee34a30,Escárcega
30,04010,8997acf8f3236c0,Calakmul
31,04011,9db8de3bc65e339,Candelaria
32,05001,effe545925e3713,Abasolo
33,05002,5230fa7c08481b8,Acuña
34,05003,96944dc9cc5bdd9,Allende
35,05004,c722aef52afcf50,Arteaga
36,05005,5d9f0605ac491ae,Candela
37,05006,7f3ae692eccc497,Castaños
38,05007,74ca7ec88c2b177,Cuatro Ciénegas
39,05008,93a5ac51f484737,Escobedo
40,05009,2daad78552e4f6d,Francisco I. Madero
41,05010,224ef4eaeca707a,Frontera
42,05011,0a2702e5337a6ae,General Cepeda
43,05012,3abcf8d0b7ec1c2,Guerrero
44,05013,ed0cea5327d2f90,Hidalgo
45,05014,3dfd931a2c8d443,Jiménez
46,05015,c6bba3e5d321ec6,Juárez
47,05016,df62dab6428b51b,Lamadrid
48,05017,7a9ae2c5c99ba42,Matamoros
