weight,product__ref,primary,secondary,basic_consumption
0.4229,982efa41d1941c3,"Food, beverages & tobacco",Merchandise,TRUE
0.73358,dc59054987d5607,"Food, beverages & tobacco",Merchandise,TRUE
0.26296,02b414002b0923d,Fruits & vegetables,Agricultural,FALSE
0.03094,089d3bbea8c618f,"Food, beverages & tobacco",Merchandise,FALSE
0.20643,0b67cb47af7f8ea,"Food, beverages & tobacco",Merchandise,TRUE
0.16591,c912248098f41da,"Food, beverages & tobacco",Merchandise,TRUE
0.35981,d14323a232586a6,"Food, beverages & tobacco",Merchandise,TRUE
0.15209,452179a1ffe3b8d,"Food, beverages & tobacco",Merchandise,FALSE
0.16282,900d053c130a640,"Food, beverages & tobacco",Merchandise,FALSE
0.07068,7f59278d960b833,"Food, beverages & tobacco",Merchandise,FALSE
0.19352,b8560ee27a9dd95,"Food, beverages & tobacco",Merchandise,TRUE
0.03592,058474d7c7722db,"Food, beverages & tobacco",Merchandise,TRUE
0.07605,787bfe317e79fe7,Fruits & vegetables,Agricultural,FALSE
0.12516,35ad4dc929e5ee7,Livestock,Agricultural,FALSE
0.62268,b05143358dadc52,Livestock,Agricultural,FALSE
2.15982,bdd336bafe11064,Livestock,Agricultural,TRUE
0.28179,2e99fc2fb3daeb2,"Food, beverages & tobacco",Merchandise,FALSE
0.13048,f364671daebd58b,"Food, beverages & tobacco",Merchandise,FALSE
0.1958,83b09ec629dc758,Fruits & vegetables,Agricultural,FALSE
0.23247,c9032a3f337a9e7,"Food, beverages & tobacco",Merchandise,FALSE
1.32537,59037ebf620a3fb,"Food, beverages & tobacco",Merchandise,TRUE
0.04866,d86a62764deab74,Fruits & vegetables,Agricultural,FALSE
0.04476,45c9665efb643c2,Fruits & vegetables,Agricultural,FALSE
0.10015,02848594f630139,Fruits & vegetables,Agricultural,FALSE
0.08073,ae07a5e99ac16fe,Fruits & vegetables,Agricultural,FALSE
0.06118,eb2368d23efdb84,"Food, beverages & tobacco",Merchandise,TRUE
0.04553,6ec655471884d18,"Food, beverages & tobacco",Merchandise,TRUE
0.184,3ba8401c1d31a45,"Food, beverages & tobacco",Merchandise,TRUE
0.26245,415a3fde0980fbe,"Food, beverages & tobacco",Merchandise,FALSE
0.86149,439dffe42db825f,"Food, beverages & tobacco",Merchandise,FALSE
0.10305,0e92d6a5900b8f1,"Food, beverages & tobacco",Merchandise,TRUE
0.0913,b25d18cd4b25911,"Food, beverages & tobacco",Merchandise,FALSE
0.18768,c41716269b81e46,"Food, beverages & tobacco",Merchandise,FALSE
0.02514,aa7513e136a9ef7,Fruits & vegetables,Agricultural,FALSE
0.03072,0c50808b2060295,Fruits & vegetables,Agricultural,FALSE
0.45138,42d2ee2b885cc12,Fruits & vegetables,Agricultural,TRUE
0.03827,7889415ad57004d,"Food, beverages & tobacco",Merchandise,TRUE
0.37946,759181443fd3cfd,"Food, beverages & tobacco",Merchandise,TRUE
0.02553,c69798a31c06326,"Food, beverages & tobacco",Merchandise,TRUE
0.06908,3d2cf64eb731283,"Food, beverages & tobacco",Merchandise,FALSE
0.03772,2b6594483f75fb6,Fruits & vegetables,Agricultural,FALSE
0.05384,8d30de49aebbd98,"Food, beverages & tobacco",Merchandise,TRUE
0.1191,c705a40044f4087,"Food, beverages & tobacco",Merchandise,FALSE
0.70713,a8fd40ad071ad7b,Livestock,Agricultural,TRUE
0.44904,ab6d44bab5366f1,"Food, beverages & tobacco",Merchandise,TRUE
0.49601,64967d83ac5aa6d,Fruits & vegetables,Agricultural,FALSE
0.35199,bbdf30dbd507939,"Food, beverages & tobacco",Merchandise,FALSE
0.01575,11449af3aebc63e,"Food, beverages & tobacco",Merchandise,FALSE
0.16183,bfc34ac08cc27f3,"Food, beverages & tobacco",Merchandise,TRUE
0.20423,6b77b47886ea369,"Food, beverages & tobacco",Merchandise,TRUE
1.49597,aa9fec12e179a94,"Food, beverages & tobacco",Merchandise,TRUE
0.14388,da5aff254a26b4c,Fruits & vegetables,Agricultural,FALSE
0.08532,91f000d00e522da,Fruits & vegetables,Agricultural,FALSE
0.26188,2e0f130a7321515,"Food, beverages & tobacco",Merchandise,FALSE
0.03152,2296b0add2ee5b2,Livestock,Agricultural,FALSE
0.03612,a00e4e950290bd3,"Food, beverages & tobacco",Merchandise,FALSE
0.27103,5673af6b6ddec2b,Fruits & vegetables,Agricultural,FALSE
0.12357,a475f2b84d6a94b,"Food, beverages & tobacco",Merchandise,TRUE
