date,usa,mex
1/1/2010,49,11
2/1/2010,62,11
3/1/2010,46,10
4/1/2010,45,16
5/1/2010,59,8
6/1/2010,50,11
7/1/2010,58,11
8/1/2010,49,10
9/1/2010,42,12
10/1/2010,42,2
11/1/2010,35,12
12/1/2010,44,13
1/1/2011,55,4
2/1/2011,67,12
3/1/2011,45,9
4/1/2011,41,14
5/1/2011,59,6
6/1/2011,63,11
7/1/2011,61,14
8/1/2011,55,11
9/1/2011,51,7
10/1/2011,48,8
11/1/2011,44,12
12/1/2011,44,16
1/1/2012,69,15
2/1/2012,83,12
3/1/2012,64,23
4/1/2012,68,9
5/1/2012,91,18
6/1/2012,76,16
7/1/2012,84,10
8/1/2012,78,12
9/1/2012,72,22
10/1/2012,53,8
11/1/2012,47,13
12/1/2012,55,11
1/1/2013,63,12
2/1/2013,87,22
3/1/2013,66,13
4/1/2013,63,14
5/1/2013,84,14
6/1/2013,74,10
7/1/2013,79,19
8/1/2013,71,12
9/1/2013,58,16
10/1/2013,49,18
11/1/2013,47,17
12/1/2013,50,18
1/1/2014,72,17
2/1/2014,85,23
3/1/2014,62,17
4/1/2014,61,16
5/1/2014,76,19
6/1/2014,71,21
7/1/2014,74,17
8/1/2014,73,23
9/1/2014,62,16
10/1/2014,58,18
11/1/2014,50,25
12/1/2014,54,24
1/1/2015,87,23
2/1/2015,81,21
3/1/2015,57,24
4/1/2015,55,17
5/1/2015,100,19
6/1/2015,82,13
7/1/2015,99,20
8/1/2015,79,23
9/1/2015,64,25
10/1/2015,73,33
11/1/2015,60,20
12/1/2015,59,17
1/1/2016,75,19
2/1/2016,100,26
3/1/2016,73,20
4/1/2016,74,25
5/1/2016,87,23
6/1/2016,79,23
7/1/2016,74,23
8/1/2016,57,12
9/1/2016,59,25
10/1/2016,52,19
11/1/2016,42,20
12/1/2016,48,23
1/1/2017,70,26
2/1/2017,89,21
3/1/2017,56,26
4/1/2017,60,24
5/1/2017,78,20
6/1/2017,66,24
7/1/2017,75,27
8/1/2017,60,20
9/1/2017,51,30
10/1/2017,50,19
11/1/2017,49,26
12/1/2017,58,35
1/1/2018,70,25
2/1/2018,90,36
3/1/2018,70,28
4/1/2018,79,26
5/1/2018,95,18
6/1/2018,71,30
7/1/2018,93,20
8/1/2018,75,29
9/1/2018,63,25
10/1/2018,60,26
11/1/2018,46,47
12/1/2018,57,28
1/1/2019,77,26
2/1/2019,88,36
3/1/2019,72,27
4/1/2019,66,25
5/1/2019,76,32
6/1/2019,66,33
7/1/2019,76,41
8/1/2019,66,35
9/1/2019,61,39
10/1/2019,53,28
11/1/2019,47,26
12/1/2019,50,31
1/1/2020,64,36
2/1/2020,84,32
3/1/2020,55,30
4/1/2020,71,48
5/1/2020,96,47
6/1/2020,79,43
7/1/2020,75,39
8/1/2020,69,37
9/1/2020,64,39
10/1/2020,54,47
11/1/2020,44,33
12/1/2020,52,34
1/1/2021,63,35
2/1/2021,73,40
3/1/2021,52,36
4/1/2021,56,37
5/1/2021,66,36
6/1/2021,56,31
7/1/2021,60,33
8/1/2021,52,32
9/1/2021,47,41
10/1/2021,39,25
11/1/2021,35,28
12/1/2021,37,25
1/1/2022,44,31
2/1/2022,43,33
